NO.,MA101,PH100, BE10105,BE110, BE103, EC100, PH110, EC110, CS110,CY100,BE100,EE100,CY110,EE110,MA102,BE102,CS100,CS120,CS202,IT202,IT204,HS200,MA202,CS208,IT232,IT234,CS305,IT301,IT303,IT305,IT307,IT341,IT331,IT333,IT367,IT363,HS300,CS304,IT304,IT306,IT364,IT302,IT332,IT334,IT352,IT366
36,5.0,6,5.0,6,7,0,10,9,9,6,0,5.0,10,10,6.0,7,0,7,0.0,0.0,0.0,0,6.0,0.0,8,7,6.0,6,6,6,0.0,10,8,7,6.0,,6,6.0,5,0,,0,10,8,5,5.0
37,9.0,7,0.0,8,7,9,10,10,9,9,7,8.0,10,10,7.0,9,7,10,8.0,6.0,7.0,7,10.0,7.0,10,10,7.0,8,6,8,7.0,10,10,10,,5.0,7,8.0,9,10,,7,7,9,7,7.0
38,6.0,7,8.0,6,7,6,10,10,10,5,5,6.0,10,9,6.0,7,7,10,6.0,6.0,8.0,6,7.0,5.0,10,10,7.0,9,7,6,6.0,10,7,7,7.0,,6,7.0,7,9,6.0,5,7,8,6,
39,10.0,8,0.0,10,8,7,10,10,9,6,7,7.0,10,10,8.0,9,6,10,7.0,6.0,9.0,7,7.0,7.0,10,10,7.0,6,7,6,6.0,10,10,10,7.0,,6,5.0,6,6,,5,10,9,7,5.0
40,7.0,7,5.0,7,7,5,10,9,10,6,5,5.0,10,9,5.0,8,0,7,5.0,6.0,6.0,6,6.0,5.0,10,9,6.0,6,7,6,6.0,10,8,7,,6.0,7,0.0,6,6,,0,10,7,6,5.0
41,0.0,4,0.0,7,6,0,10,9,8,0,5,5.0,10,10,6.0,8,0,6,0.0,0.0,0.0,0,5.0,0.0,7,8,5.0,5,0,0,5.0,10,6,7,5.0,,5,0.0,0,5,0.0,0,6,7,4,
42,8.0,7,6.0,7,7,7,10,10,10,7,6,7.0,10,10,6.0,10,6,10,7.0,7.0,7.0,7,9.0,7.0,10,9,9.0,10,9,6,7.0,10,10,9,,7.0,8,9.0,9,10,,7,10,9,6,8.0
43,7.0,6,5.0,9,7,6,10,9,9,6,7,8.0,10,10,7.0,9,5,10,5.0,5.0,8.0,7,9.0,7.0,10,10,7.0,7,7,7,7.0,10,10,9,,6.0,7,7.0,9,8,8.0,6,8,9,6,
44,7.0,9,8.0,7,7,7,10,9,9,6,6,8.0,10,10,8.0,8,6,10,6.0,6.0,7.0,7,10.0,7.0,10,9,8.0,8,8,7,7.0,10,10,9,,7.0,7,7.0,7,9,6.0,7,10,9,6,
45,7.0,7,8.0,8,6,0,10,10,10,5,5,5.0,10,10,6.0,9,6,10,0.0,0.0,7.0,5,9.0,6.0,9,8,6.0,6,7,5,5.0,10,9,9,7.0,,5,6.0,5,7,5.0,6,7,7,6,
46,0.0,0,9.0,6,6,0,10,8,9,0,0,0.0,10,10,5.0,7,0,10,0.0,0.0,5.0,4,0.0,0.0,7,7,0.0,5,0,7,0.0,10,7,6,0.0,,7,5.0,6,7,5.0,5,8,8,5,
48,6.0,7,8.0,0,6,6,10,9,8,5,5,5.0,10,10,5.0,8,0,5,6.0,6.0,5.0,5,7.0,0.0,9,7,6.0,7,5,5,6.0,10,6,7,7.0,,6,5.0,6,7,5.0,4,6,8,6,
49,5.0,6,0.0,7,7,0,9,9,10,0,6,6.0,10,10,5.0,8,7,10,0.0,0.0,5.0,4,7.0,5.0,10,7,6.0,7,5,5,6.0,9,7,7,6.0,,6,5.0,0,7,5.0,0,10,9,7,
52,8.0,9,5.0,9,7,8,10,10,10,6,6,9.0,10,10,9.0,9,7,7,7.0,6.0,9.0,10,10.0,7.0,10,8,9.0,9,7,7,6.0,10,9,10,8.0,,8,6.0,8,9,7.0,7,10,10,7,
